Decision Tree Prediction for Wine Quality

Predicted : Expected
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
6.0 : 6.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
5.0 : 7.0
5.0 : 7.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
6.0 : 7.0
5.0 : 6.0
5.0 : 5.0
6.0 : 5.0
7.0 : 8.0
5.0 : 4.0
6.0 : 5.0
5.0 : 6.0
6.0 : 5.0
5.0 : 6.0
7.0 : 6.0
5.0 : 5.0
4.0 : 5.0
5.0 : 5.0
4.0 : 5.0
5.0 : 5.0
4.0 : 6.0
5.0 : 5.0
6.0 : 7.0
5.0 : 6.0
5.0 : 6.0
5.0 : 5.0
6.0 : 6.0
7.0 : 7.0
5.0 : 5.0
7.0 : 7.0
5.0 : 4.0
6.0 : 6.0
6.0 : 6.0
6.0 : 6.0
6.0 : 5.0
7.0 : 8.0
5.0 : 5.0
5.0 : 6.0
5.0 : 5.0
6.0 : 5.0
5.0 : 6.0
7.0 : 8.0
5.0 : 6.0
6.0 : 6.0
5.0 : 6.0
5.0 : 6.0
7.0 : 7.0
5.0 : 6.0
7.0 : 7.0
5.0 : 5.0
7.0 : 7.0
5.0 : 5.0
7.0 : 7.0
7.0 : 7.0
5.0 : 5.0
7.0 : 7.0
6.0 : 6.0
5.0 : 5.0
5.0 : 6.0
5.0 : 5.0
7.0 : 7.0
5.0 : 6.0
6.0 : 5.0
5.0 : 6.0
5.0 : 6.0
6.0 : 5.0
6.0 : 6.0
6.0 : 7.0
6.0 : 5.0
6.0 : 7.0
5.0 : 5.0
6.0 : 7.0
7.0 : 6.0
6.0 : 3.0
7.0 : 6.0
6.0 : 6.0
6.0 : 7.0
6.0 : 5.0
6.0 : 5.0
5.0 : 6.0
6.0 : 5.0
5.0 : 5.0
7.0 : 7.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
5.0 : 6.0
5.0 : 5.0
7.0 : 6.0
6.0 : 5.0
5.0 : 5.0
6.0 : 5.0
6.0 : 6.0
5.0 : 6.0
5.0 : 6.0
7.0 : 7.0
5.0 : 5.0
6.0 : 6.0
7.0 : 6.0
6.0 : 5.0
7.0 : 7.0
6.0 : 5.0
6.0 : 6.0
5.0 : 6.0
7.0 : 6.0
5.0 : 5.0
6.0 : 6.0
7.0 : 6.0
7.0 : 7.0
6.0 : 6.0
6.0 : 5.0
5.0 : 5.0
6.0 : 6.0
5.0 : 5.0
6.0 : 6.0
6.0 : 6.0
5.0 : 5.0
5.0 : 6.0
7.0 : 6.0
6.0 : 6.0
5.0 : 6.0
5.0 : 6.0
5.0 : 6.0
5.0 : 6.0
6.0 : 5.0
6.0 : 5.0
6.0 : 5.0
7.0 : 6.0
6.0 : 5.0
7.0 : 6.0
7.0 : 6.0
5.0 : 6.0
6.0 : 6.0
5.0 : 6.0
5.0 : 6.0
5.0 : 5.0
5.0 : 6.0
5.0 : 6.0
5.0 : 6.0
5.0 : 6.0
5.0 : 7.0
7.0 : 8.0
6.0 : 6.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
7.0 : 6.0
5.0 : 5.0
********Decision Tree Matrix***************

Class 3.000000 F1 score = 0.000000

Class 4.000000 F1 score = 0.000000

Class 5.000000 F1 score = 0.598639

Class 6.000000 F1 score = 0.357143

Class 7.000000 F1 score = 0.509804

Class 8.000000 F1 score = 0.000000

Weighted F1 score = 0.462126

