Random Forest Prediction for Wine Quality

Predicted : Expected
5.0 : 6.0
6.0 : 5.0
6.0 : 8.0
6.0 : 5.0
6.0 : 5.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
5.0 : 6.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
5.0 : 7.0
5.0 : 7.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
6.0 : 7.0
5.0 : 5.0
5.0 : 4.0
5.0 : 6.0
5.0 : 6.0
6.0 : 5.0
5.0 : 5.0
5.0 : 5.0
6.0 : 6.0
5.0 : 5.0
5.0 : 5.0
5.0 : 6.0
5.0 : 7.0
6.0 : 6.0
6.0 : 6.0
6.0 : 7.0
5.0 : 5.0
5.0 : 6.0
5.0 : 5.0
6.0 : 5.0
5.0 : 4.0
5.0 : 6.0
6.0 : 5.0
6.0 : 5.0
5.0 : 5.0
5.0 : 6.0
5.0 : 6.0
6.0 : 6.0
5.0 : 6.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
6.0 : 7.0
5.0 : 6.0
6.0 : 6.0
6.0 : 8.0
6.0 : 6.0
5.0 : 5.0
6.0 : 8.0
5.0 : 6.0
5.0 : 5.0
5.0 : 6.0
6.0 : 6.0
6.0 : 5.0
6.0 : 5.0
6.0 : 7.0
6.0 : 6.0
6.0 : 7.0
5.0 : 5.0
6.0 : 6.0
6.0 : 5.0
6.0 : 7.0
5.0 : 5.0
5.0 : 6.0
5.0 : 7.0
6.0 : 6.0
5.0 : 7.0
7.0 : 7.0
7.0 : 7.0
5.0 : 5.0
6.0 : 7.0
7.0 : 7.0
6.0 : 6.0
6.0 : 6.0
5.0 : 6.0
6.0 : 7.0
6.0 : 5.0
5.0 : 6.0
6.0 : 6.0
6.0 : 7.0
6.0 : 7.0
5.0 : 5.0
6.0 : 6.0
5.0 : 3.0
6.0 : 6.0
6.0 : 5.0
6.0 : 6.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
5.0 : 5.0
6.0 : 5.0
6.0 : 5.0
6.0 : 6.0
5.0 : 6.0
5.0 : 5.0
6.0 : 6.0
6.0 : 5.0
6.0 : 5.0
6.0 : 6.0
5.0 : 6.0
6.0 : 6.0
5.0 : 5.0
6.0 : 6.0
6.0 : 7.0
6.0 : 5.0
5.0 : 5.0
6.0 : 6.0
6.0 : 7.0
6.0 : 6.0
6.0 : 7.0
6.0 : 6.0
6.0 : 6.0
5.0 : 6.0
6.0 : 6.0
5.0 : 6.0
5.0 : 6.0
6.0 : 5.0
5.0 : 6.0
6.0 : 6.0
5.0 : 6.0
6.0 : 6.0
6.0 : 7.0
5.0 : 8.0
6.0 : 6.0
5.0 : 5.0
5.0 : 5.0
6.0 : 5.0
6.0 : 6.0
5.0 : 5.0
5.0 : 5.0
6.0 : 6.0
6.0 : 6.0
5.0 : 5.0
5.0 : 6.0
6.0 : 6.0
6.0 : 6.0
5.0 : 6.0
5.0 : 6.0
6.0 : 6.0
6.0 : 6.0
5.0 : 5.0
6.0 : 5.0
6.0 : 5.0
6.0 : 6.0
6.0 : 5.0
6.0 : 6.0
6.0 : 6.0
********Random Forest Matrix***************

Class 3.000000 F1 score = 0.000000

Class 4.000000 F1 score = 0.000000

Class 5.000000 F1 score = 0.606897

Class 6.000000 F1 score = 0.545455

Class 7.000000 F1 score = 0.240000

Class 8.000000 F1 score = 0.000000

Weighted F1 score = 0.504936

